Date,Term1_Futures_Price,Term1_Volume,Term1_OpenInterest,Term1_ContractSpec,Term1_SettlementDate,Term1_TTM,Term2_Futures_Price,Term2_Volume,Term2_OpenInterest,Term2_ContractSpec,Term2_SettlementDate,Term2_TTM,Index,OIS,CumDiv_current,Daily_Div_x,CumDiv_Term1,Daily_Div_y,CumDiv_Term2,Div_Sum1,Div_Sum2,Div_Sum1_Comp,Div_Sum2_Comp,implied_forward_raw,cal_NDX_rf,ois_fwd_raw,ois_fwd_NDX,spread_NDX,spread_NDX_filtered
2018-05-09,6896.0,315834.0,226321.0,JUN 18,2018-06-15,37.0,6920.75,249.0,10843.0,SEP 18,2018-09-21,135.0,NDX,0.018641,354.69136499999973,0.0,366.8780469999997,0.0,386.30545499999965,12.186681999999962,31.61408999999992,12.19835611354023,31.724587172191793,0.006409229842027964,2.3544109623776195,0.005064790910022099,1.8605354363346487,49.38755260429708,0.4938755260429708
2018-05-10,6965.0,291106.0,229003.0,JUN 18,2018-06-15,36.0,6990.0,484.0,10744.0,SEP 18,2018-09-21,134.0,NDX,0.018699,354.91085399999974,0.0,366.8780469999997,0.0,386.30545499999965,11.967192999999952,31.39460099999991,11.978381727095302,31.503857089318334,0.00638177057834044,2.344323885920978,0.005080782777617365,1.866409999941073,47.791388597990505,0.47791388597990503
2018-05-11,6960.0,260242.0,229361.0,JUN 18,2018-06-15,35.0,6985.0,398.0,10775.0,SEP 18,2018-09-21,133.0,NDX,0.018732,358.15905899999973,0.0,366.8780469999997,0.0,386.30545499999965,8.718987999999968,28.146395999999925,8.726927365156302,28.243788628545722,0.006388090927853529,2.3466456469666026,0.005089996933917096,1.8697947920511782,47.685085491542445,0.47685085491542445
2018-05-14,6974.0,252606.0,225942.0,JUN 18,2018-06-15,32.0,6999.0,369.0,10810.0,SEP 18,2018-09-21,130.0,NDX,0.0187765,358.4289409999997,0.0,366.8780469999997,0.0,386.30545499999965,8.449105999999972,27.87651399999993,8.456156872835928,27.97102099648011,0.006375244344331232,2.3419264938359627,0.0051028637625389894,1.8745213821571798,46.740511167878296,0.46740511167878296
2018-05-15,6890.5,421407.0,237303.0,JUN 18,2018-06-15,31.0,6915.25,853.0,10839.0,SEP 18,2018-09-21,129.0,NDX,0.0187935,358.4289409999997,0.0,366.8780469999997,0.0,386.30545499999965,8.449105999999972,27.87651399999993,8.455942717336,27.97037892679967,0.006416106520608977,2.356937089203298,0.005107742324953035,1.8763135071256047,48.06235820776932,0.4806235820776932
2018-05-16,6937.25,271646.0,232941.0,JUN 18,2018-06-15,30.0,6962.25,559.0,10850.0,SEP 18,2018-09-21,128.0,NDX,0.018851,362.25996399999974,0.0,366.8780469999997,0.0,386.30545499999965,4.618082999999956,24.045490999999913,4.621710311776331,24.126074386816093,0.006411003535103044,2.355062523099077,0.00512361234308778,1.8821433097057152,47.2919213393362,0.47291921339336196
2018-05-17,6905.75,320638.0,232928.0,JUN 18,2018-06-15,29.0,6931.0,906.0,10842.0,SEP 18,2018-09-21,127.0,NDX,0.01892,363.40398999999974,0.0,366.8780469999997,0.0,386.30545499999965,3.4740569999999593,22.901464999999916,3.476704424437126,22.977893550222973,0.0064770184913933715,2.379312915205728,0.005142606540675887,1.8891207700442034,49.01921451615247,0.49019214516152476
2018-05-18,6874.0,312686.0,231605.0,JUN 18,2018-06-15,28.0,6899.0,757.0,10810.0,SEP 18,2018-09-21,126.0,NDX,0.01892,363.47869099999974,0.0,366.8780469999997,0.0,386.30545499999965,3.3993559999999547,22.826763999999912,3.40185717060351,22.902343415603912,0.00647053744556203,2.3769321228595213,0.005142876416082798,1.8892199079487828,48.771221491073845,0.48771221491073846
2018-05-21,6915.75,292052.0,231722.0,JUN 18,2018-06-15,25.0,6940.75,769.0,10857.0,SEP 18,2018-09-21,123.0,NDX,0.0189595,363.6330359999997,0.0,366.8780469999997,0.0,386.30545499999965,3.2450109999999768,22.672418999999934,3.2471472425713137,22.745853028538477,0.0064313808546230256,2.362548069045193,0.005154410760360495,1.8934570140099778,46.909105503521516,0.4690910550352152
2018-05-22,6909.25,268532.0,231987.0,JUN 18,2018-06-15,24.0,6934.25,2926.0,12945.0,SEP 18,2018-09-21,122.0,NDX,0.0189975,363.6330359999997,0.0,366.8780469999997,0.0,386.30545499999965,3.2450109999999768,22.672418999999934,3.2470659032157263,22.745401989102998,0.006437375041413063,2.364750015212962,0.0051650001939209655,1.8973470100117833,46.74030052011786,0.4674030052011786
2018-05-23,6957.0,389560.0,237095.0,JUN 18,2018-06-15,23.0,6982.0,1094.0,13063.0,SEP 18,2018-09-21,121.0,NDX,0.018746,363.9334729999997,0.0,366.8780469999997,0.0,386.30545499999965,2.9445739999999887,22.371981999999946,2.946337300884283,22.442462008504403,0.006393170658392844,2.348511670430024,0.005096973331034871,1.872357550176075,47.61541202539492,0.4761541202539492
