Date,Term1_Futures_Price,Term1_Volume,Term1_OpenInterest,Term1_ContractSpec,Term1_SettlementDate,Term1_TTM,Term2_Futures_Price,Term2_Volume,Term2_OpenInterest,Term2_ContractSpec,Term2_SettlementDate,Term2_TTM,Index,OIS,CumDiv_current,Daily_Div_x,CumDiv_Term1,Daily_Div_y,CumDiv_Term2,Div_Sum1,Div_Sum2,Div_Sum1_Comp,Div_Sum2_Comp,implied_forward_raw,cal_SPX_rf,ois_fwd_raw,ois_fwd_SPX,spread_SPX,spread_SPX_filtered
2016-02-09,1848.25,2783150.0,3002017.0,MAR 16,2016-03-18,38.0,1839.5,10952.0,58060.0,JUN 16,2016-06-17,129.0,SPX,0.00374,201.2515560000001,0.0,207.2204550000001,0.010718,218.51259300000015,5.968898999999993,17.261037000000044,5.970077194341493,17.272603333209794,0.0013766036568489959,0.5445904576545478,0.0009450158176442791,0.3738524113757588,17.073804627878904,0.17073804627878902
2016-02-10,1846.75,2352799.0,3001438.0,MAR 16,2016-03-18,37.0,1837.75,13156.0,65034.0,JUN 16,2016-06-17,128.0,SPX,0.00376,201.8837600000001,0.0,207.2204550000001,0.010718,218.51259300000015,5.336694999999992,16.628833000000043,5.337726168067214,16.63994845103649,0.0012430417039328567,0.49175276199541584,0.0009500772923531908,0.37585475301884474,11.58980089765711,0.1158980089765711
2016-02-11,1824.5,3196586.0,3021157.0,MAR 16,2016-03-18,36.0,1815.5,17473.0,76620.0,JUN 16,2016-06-17,127.0,SPX,0.00369,202.23218900000012,0.0,207.2204550000001,0.010718,218.51259300000015,4.988265999999982,16.280404000000033,4.989186335076981,16.291000507953534,0.0012581731502265825,0.4977388286610656,0.0009324059422073372,0.36886388922488067,12.887493943618495,0.12887493943618494
2016-02-12,1858.25,2009632.0,2980271.0,MAR 16,2016-03-18,35.0,1849.25,14951.0,87385.0,JUN 16,2016-06-17,126.0,SPX,0.00373,202.43371600000012,0.0,207.2204550000001,0.010718,218.51259300000015,4.786738999999983,16.078877000000034,4.787606928856164,16.089372486961782,0.0012354906575933189,0.48876553487208224,0.0009425193169532164,0.37286478472874496,11.590075014333728,0.11590075014333728
2016-02-16,1888.75,2001436.0,3003822.0,MAR 16,2016-03-18,31.0,1880.0,8162.0,90792.0,JUN 16,2016-06-17,122.0,SPX,0.00378,203.05406300000013,0.0,207.2204550000001,0.010718,218.51259300000015,4.1663919999999735,15.458530000000025,4.167070080297973,15.468431188465026,0.001347846214973858,0.5332138872424054,0.0009551890859527123,0.3778770010362379,15.533688620616747,0.15533688620616748
2016-02-17,1922.75,1839284.0,2983644.0,MAR 16,2016-03-18,30.0,1913.75,7353.0,92023.0,JUN 16,2016-06-17,121.0,SPX,0.00386,203.24508800000012,0.0,207.2204550000001,0.010718,218.51259300000015,3.9753669999999772,15.267505000000028,3.976006371525811,15.277408945674056,0.0011944628175142302,0.47253474099464055,0.0009754084658324391,0.38587587659305284,8.66588644015877,0.08665886440158771
2016-02-18,1916.5,1611837.0,2975816.0,MAR 16,2016-03-18,29.0,1907.75,3594.0,93161.0,JUN 16,2016-06-17,120.0,SPX,0.00384,203.34751600000013,0.0,207.2204550000001,0.010718,218.51259300000015,3.872938999999974,15.165077000000025,3.8735380145653076,15.174782649280024,0.0013285147833022037,0.5255662878997729,0.0009703664999627382,0.38388125273251184,14.168503516726105,0.14168503516726105
2016-02-19,1914.5,1592600.0,2974705.0,MAR 16,2016-03-18,28.0,1905.75,8046.0,96424.0,JUN 16,2016-06-17,119.0,SPX,0.00389,203.62505800000014,0.0,207.2204550000001,0.010718,218.51259300000015,3.595396999999963,14.887535000000014,3.5959409036683514,14.897106651148416,0.0013300511684926075,0.5261740886344382,0.0009830081409811786,0.3888823414870597,13.729174714737846,0.13729174714737846
2016-02-22,1936.25,1408894.0,2985993.0,MAR 16,2016-03-18,25.0,1927.5,3577.0,97881.0,JUN 16,2016-06-17,116.0,SPX,0.00395,203.62810200000013,0.0,207.2204550000001,0.010718,218.51259300000015,3.5923529999999744,14.884491000000025,3.5928457011926827,14.893963324689192,0.0013151156183348611,0.5202655193412637,0.0009981984108524689,0.3948916790185591,12.537384032270465,0.12537384032270465
2016-02-23,1916.0,1597020.0,2986569.0,MAR 16,2016-03-18,24.0,1907.25,5906.0,98523.0,JUN 16,2016-06-17,115.0,SPX,0.00396,203.74769200000011,0.0,207.2204550000001,0.010718,218.51259300000015,3.4727629999999863,14.764901000000037,3.473221404715986,14.774239799882539,0.0013290200492088733,0.5257661733134005,0.0010007358057473326,0.3958954835923513,12.987068972104915,0.12987068972104915
2016-02-24,1930.25,2313945.0,3001982.0,MAR 16,2016-03-18,23.0,1921.0,10140.0,102105.0,JUN 16,2016-06-17,114.0,SPX,0.00394,203.84735900000013,0.0,207.2204550000001,0.010718,218.51259300000015,3.3730959999999754,14.665234000000027,3.3735205416104197,14.674382661810359,0.0010606315543915112,0.41959050503400447,0.0009956938061870257,0.3939008464036585,2.5689658630345944,0.025689658630345946
2016-02-25,1950.5,1831957.0,3023219.0,MAR 16,2016-03-18,22.0,1941.25,15564.0,111313.0,JUN 16,2016-06-17,113.0,SPX,0.00396,204.31055500000014,0.0,207.2204550000001,0.010718,218.51259300000015,2.909899999999965,14.202038000000016,2.910252097899965,14.210864566617017,0.0010497602674679474,0.415289776141166,0.0010007578166084663,0.3959041911857669,1.9385584955399104,0.019385584955399104
2016-02-26,1942.75,1873573.0,3014453.0,MAR 16,2016-03-18,21.0,1933.5,11341.0,114669.0,JUN 16,2016-06-17,112.0,SPX,0.00403,204.53486900000013,0.0,207.2204550000001,0.010718,218.51259300000015,2.6855859999999723,13.977724000000023,2.685901668254389,13.98648647986758,0.0010540490230774857,0.4169864267119724,0.0010184550226428613,0.4029052836828902,1.40811430290822,0.0140811430290822
2016-02-29,1929.5,1822667.0,3014983.0,MAR 16,2016-03-18,18.0,1920.25,15110.0,122997.0,JUN 16,2016-06-17,109.0,SPX,0.0039,204.72127900000012,0.0,207.2204550000001,0.010718,218.51259300000015,2.499175999999977,13.791314000000028,2.4994196696599773,13.79945662164086,0.0010610960495689437,0.4197742613679338,0.0009856411333124537,0.3899239648269048,2.9850296541028998,0.029850296541028998
2016-03-01,1978.0,2031654.0,3008297.0,MAR 16,2016-03-18,17.0,1968.75,19566.0,133364.0,JUN 16,2016-06-17,108.0,SPX,0.0042,204.75346900000014,0.0,207.2204550000001,0.010718,218.51259300000015,2.466985999999963,13.759124000000014,2.4672306427782966,13.767792248120013,0.0010353928475130836,0.4096059616535276,0.0010614561445314585,0.41991671651793966,-1.0310754864412075,-0.010310754864412075
