Date,Term1_Futures_Price,Term1_Volume,Term1_OpenInterest,Term1_ContractSpec,Term1_SettlementDate,Term1_TTM,Term2_Futures_Price,Term2_Volume,Term2_OpenInterest,Term2_ContractSpec,Term2_SettlementDate,Term2_TTM,Index,OIS,CumDiv_current,Daily_Div_x,CumDiv_Term1,Daily_Div_y,CumDiv_Term2,Div_Sum1,Div_Sum2,Div_Sum1_Comp,Div_Sum2_Comp,implied_forward_raw,cal_INDU_rf,ois_fwd_raw,ois_fwd_INDU,spread_INDU,spread_INDU_filtered
2012-08-30,12982.0,103447.0,113839.0,SEP 12,2012-09-21,22.0,12901.0,263.0,355.0,DEC 12,2012-12-21,113.0,INDU,0.0013,848.0719550000001,0.0,861.5217640000002,0.0,960.3114060000001,13.449809000000073,112.23945100000003,13.450343256302016,112.26235096576656,0.001370634124942649,0.5422288845926964,0.0003285850068575069,0.1299896730425302,41.22392115501662,0.4122392115501662
2012-08-31,13079.0,158861.0,117454.0,SEP 12,2012-09-21,21.0,12997.0,460.0,363.0,DEC 12,2012-12-21,112.0,INDU,0.001275,848.0719550000001,0.0,861.5217640000002,0.0,960.3114060000001,13.449809000000073,112.23945100000003,13.45030916477226,112.26171182444835,0.001284053195749646,0.5079770884284314,0.00032226769800658417,0.12749051789271462,38.048657053571674,0.3804865705357168
2012-09-04,13050.0,134241.0,111502.0,SEP 12,2012-09-21,17.0,12970.0,909.0,900.0,DEC 12,2012-12-21,108.0,INDU,0.00124,848.0719550000001,0.0,861.5217640000002,0.0,960.3114060000001,13.449809000000073,112.23945100000003,13.450202780519128,112.26032753788603,0.0014399048081006338,0.5696326713365145,0.000313426091605562,0.1239927395362663,44.563993180024816,0.4456399318002482
2012-09-05,13050.0,104430.0,110744.0,SEP 12,2012-09-21,16.0,12971.0,241.0,995.0,DEC 12,2012-12-21,107.0,INDU,0.00128,848.1493860000002,0.0,861.5217640000002,0.0,960.3114060000001,13.372378000000026,112.16201999999998,13.372758369863138,112.18335570869333,0.0015164994297616197,0.5999338403452562,0.00032353714988642146,0.12799271863638653,47.19411217088697,0.4719411217088697
2012-09-06,13275.0,139593.0,120085.0,SEP 12,2012-09-21,15.0,13195.0,1659.0,1414.0,DEC 12,2012-12-21,106.0,INDU,0.00133,851.7112240000001,0.0,861.5217640000002,0.0,960.3114060000001,9.81054000000006,108.60018200000002,9.81081183371256,108.62144651896996,0.0014159505130852956,0.5601562469348422,0.00033617581470135605,0.13299262999174527,42.7163616943097,0.42716361694309696
2012-09-07,13296.0,101796.0,116989.0,SEP 12,2012-09-21,14.0,13216.0,1990.0,2636.0,DEC 12,2012-12-21,105.0,INDU,0.00132,851.7112240000001,0.0,861.5217640000002,0.0,960.3114060000001,9.81054000000006,108.60018200000002,9.810791803860061,108.62108753503502,0.0014136903061001682,0.5592620991165501,0.0003336495393235772,0.1319932243477888,42.72688747687613,0.4272688747687613
2012-09-10,13237.0,72331.0,116675.0,SEP 12,2012-09-21,11.0,13157.0,2703.0,4778.0,DEC 12,2012-12-21,102.0,INDU,0.001225,852.7333170000002,0.0,861.5217640000002,0.0,960.3114060000001,8.78844700000002,107.57808899999998,8.788611478226859,107.59675828086185,0.0014199340903218172,0.5617321675998398,0.00030964118773635363,0.12249541492866739,43.92367526711724,0.4392367526711724
2012-09-11,13293.0,90819.0,118862.0,SEP 12,2012-09-21,10.0,13215.0,3836.0,7036.0,DEC 12,2012-12-21,101.0,INDU,0.00125,852.7333170000002,0.0,861.5217640000002,0.0,960.3114060000001,8.78844700000002,107.57808899999998,8.78859957720488,107.59695251907809,0.0015643274425918285,0.6188548124539102,0.0003159612513454757,0.12499565987293546,49.38591525809747,0.4938591525809747
2012-09-12,13361.0,106387.0,106919.0,SEP 12,2012-09-21,9.0,13284.0,14062.0,14816.0,DEC 12,2012-12-21,100.0,INDU,0.00127,854.7078140000002,0.0,861.5217640000002,0.0,960.3114060000001,6.813949999999977,105.60359199999994,6.814058171456228,105.62221930025548,0.0016313932131235553,0.6453863260708571,0.00032101758546954073,0.12699596787806008,51.8390358192797,0.518390358192797
2012-09-13,13520.0,144283.0,96071.0,SEP 12,2012-09-21,8.0,13445.0,34362.0,27826.0,DEC 12,2012-12-21,99.0,INDU,0.00133,857.9599270000002,0.0,861.5217640000002,0.0,960.3114060000001,3.5618369999999686,102.35147899999993,3.561889636035635,102.37019652672204,0.0017605056334257796,0.6964637670695392,0.00033618450832451074,0.132996069227279,56.34676978422601,0.5634676978422601
