bin,bin_mid,estimate,se,ci_low,ci_high,nobs,event,strategy,spec
"bin_[41,60]",50.5,-1312.1572298760886,450.49771573072036,-2195.1327527083004,-429.1817070438767,112,2021-03-31,cip,TOTAL
"bin_[-60,-41]",-50.5,662.8779930003275,460.17514938211616,-239.06529978862022,1564.8212857892752,112,2021-03-31,cip,DIRECT
"bin_[-40,-21]",-30.5,-55.73336432907752,161.69873132018375,-372.6628777166377,261.19614905848266,112,2021-03-31,cip,DIRECT
"bin_[0,0]",0.0,-304.06587910469375,247.87908877239235,-789.9088930985827,181.77713488919522,112,2021-03-31,cip,DIRECT
"bin_[1,20]",10.5,-429.2614794809458,251.78115236216374,-922.7525381107866,64.22957914889508,112,2021-03-31,cip,DIRECT
"bin_[21,40]",30.5,-692.7703611613265,314.4533941643428,-1309.0990137234385,-76.44170859921462,112,2021-03-31,cip,DIRECT
"bin_[41,60]",50.5,-1364.5148011114943,583.2989813471473,-2507.780804551903,-221.24879767108564,112,2021-03-31,cip,DIRECT
"bin_[-60,-41]",-50.5,-8.272001785999954,2.701057549587503,-13.56607458319146,-2.977928988808449,48,2021-03-31,eq_spot_fut,TOTAL
"bin_[-40,-21]",-30.5,-6.380153644247319,2.0219654985286,-10.343206021363375,-2.4171012671312626,48,2021-03-31,eq_spot_fut,TOTAL
"bin_[0,0]",0.0,-3.3830888547657807,2.3459706634179884,-7.981191355065038,1.2150136455334763,48,2021-03-31,eq_spot_fut,TOTAL
"bin_[1,20]",10.5,-6.195063323157939,3.9659795480252535,-13.968383237287435,1.5782565909715576,48,2021-03-31,eq_spot_fut,TOTAL
"bin_[21,40]",30.5,-2.2153032807067348,3.747451698680751,-9.560308610121005,5.129702048707537,48,2021-03-31,eq_spot_fut,TOTAL
"bin_[41,60]",50.5,-4.421587074660934,4.3659558033994115,-12.978860449323781,4.135686300001913,48,2021-03-31,eq_spot_fut,TOTAL
"bin_[-60,-41]",-50.5,-24.2525386529789,15.732958992409422,-55.089138278101366,6.584060972143568,48,2021-03-31,eq_spot_fut,DIRECT
"bin_[-40,-21]",-30.5,-18.801016182702398,11.561728736098532,-41.462004505455525,3.8599721400507256,48,2021-03-31,eq_spot_fut,DIRECT
"bin_[0,0]",0.0,-14.082374388439021,11.259786017600955,-36.151554982936894,7.986806206058851,48,2021-03-31,eq_spot_fut,DIRECT
"bin_[1,20]",10.5,-14.278326527710703,8.809560940467398,-31.5450659710268,2.9884129156053945,48,2021-03-31,eq_spot_fut,DIRECT
"bin_[21,40]",30.5,-15.385299583132195,14.04444385445555,-42.912409537865074,12.14181037160068,48,2021-03-31,eq_spot_fut,DIRECT
"bin_[41,60]",50.5,-26.47791777505131,24.37730758452147,-74.25744064071338,21.30160509061077,48,2021-03-31,eq_spot_fut,DIRECT
"bin_[-60,-41]",-50.5,13.925087368881847,11.204093162209727,-8.034935229049218,35.88510996681291,42,2021-03-31,tips_treas,TOTAL
"bin_[-40,-21]",-30.5,4.358272508464921,2.2720547812162013,-0.09495486271883369,8.811499879648675,42,2021-03-31,tips_treas,TOTAL
"bin_[0,0]",0.0,-3.960258287845127,5.569073416238588,-14.87564218367276,6.955125607982506,42,2021-03-31,tips_treas,TOTAL
"bin_[1,20]",10.5,-3.196477654659855,5.987309859493575,-14.931604979267261,8.538649669947551,42,2021-03-31,tips_treas,TOTAL
"bin_[21,40]",30.5,-4.985227489443609,7.284324648184031,-19.262503799884307,9.29204882099709,42,2021-03-31,tips_treas,TOTAL
"bin_[41,60]",50.5,-11.429335828026453,12.661409809013591,-36.24569905369309,13.387027397640185,42,2021-03-31,tips_treas,TOTAL
"bin_[-60,-41]",-50.5,15.827338083581818,12.385095304275984,-8.447448712799108,40.102124879962744,42,2021-03-31,tips_treas,DIRECT
"bin_[-40,-21]",-30.5,5.016887939724913,5.641074104546512,-6.03961730518625,16.073393184636075,42,2021-03-31,tips_treas,DIRECT
"bin_[0,0]",0.0,-4.710803342467738,6.754755211948804,-17.950123557887395,8.528516872951917,42,2021-03-31,tips_treas,DIRECT
"bin_[1,20]",10.5,-3.930659318862179,6.864652690244972,-17.385378591742324,9.524059954017964,42,2021-03-31,tips_treas,DIRECT
"bin_[21,40]",30.5,-5.8279637445209325,8.728018198936592,-22.934879414436654,11.27895192539479,42,2021-03-31,tips_treas,DIRECT
"bin_[41,60]",50.5,-13.493937819937292,15.17864472668177,-43.24408148423356,16.256205844358973,42,2021-03-31,tips_treas,DIRECT
"bin_[-60,-41]",-50.5,540.1290615444332,695.9270743689272,-823.888004218664,1904.1461273075304,42,2021-03-31,ust_spot_fut,TOTAL
"bin_[-40,-21]",-30.5,-188.49048754075326,128.01592645817786,-439.4017033987819,62.42072831727535,42,2021-03-31,ust_spot_fut,TOTAL
"bin_[0,0]",0.0,-0.10492394814474437,375.29869097239197,-735.6903582540331,735.4805103577435,42,2021-03-31,ust_spot_fut,TOTAL
"bin_[1,20]",10.5,-377.4855769991841,400.8507526150051,-1163.153052124594,408.18189812622586,42,2021-03-31,ust_spot_fut,TOTAL
"bin_[21,40]",30.5,-669.7892552813707,508.2075394672045,-1665.8760326370916,326.2975220743501,42,2021-03-31,ust_spot_fut,TOTAL
"bin_[41,60]",50.5,-1231.7525391535805,764.9828083153529,-2731.1188434516725,267.61376514451126,42,2021-03-31,ust_spot_fut,TOTAL
"bin_[-60,-41]",-50.5,-73.53048419513107,1102.7508647586542,-2234.9221791220934,2087.8612107318313,42,2021-03-31,ust_spot_fut,DIRECT
"bin_[-40,-21]",-30.5,-629.1233811882503,342.7716393058106,-1300.955794227639,42.709031851138434,42,2021-03-31,ust_spot_fut,DIRECT
"bin_[0,0]",0.0,-656.427278018816,504.42571656062745,-1645.1016824776457,332.24712644001386,42,2021-03-31,ust_spot_fut,DIRECT
"bin_[1,20]",10.5,-836.8601162269551,455.8712514836618,-1730.3677691349321,56.64753668102196,42,2021-03-31,ust_spot_fut,DIRECT
"bin_[21,40]",30.5,-1390.0381363431661,658.11151560195,-2679.9367069229884,-100.13956576334408,42,2021-03-31,ust_spot_fut,DIRECT
"bin_[41,60]",50.5,-2753.745814697424,1204.878301399275,-5115.307285440003,-392.1843439548452,42,2021-03-31,ust_spot_fut,DIRECT
