term,estimate,se,ci_low,ci_high,n,event,tenor,spec
"bin_[0,0]",-9.740728559285369,0.035360333311624796,-9.810034812576154,-9.671422305994584,56,2021-03-31,5,TOTAL
"bin_[1,20]",-10.483782118290938,0.03964470275570967,-10.561485735692129,-10.406078500889747,56,2021-03-31,5,TOTAL
"bin_[21,40]",-10.530560640615235,0.051620793156535796,-10.631737395202045,-10.429383886028425,56,2021-03-31,5,TOTAL
"bin_[41,60]",-9.545306357486899,0.06959734984229808,-9.681717163177803,-9.408895551795995,56,2021-03-31,5,TOTAL
"bin_[-40,-21]",-2.6663767261448945,4.4823444817265836e-13,-2.666376726145773,-2.666376726144016,56,2021-03-31,5,DIRECT
"bin_[-60,-41]",14.919525219167198,1.09572197603347e-12,14.91952521916505,14.919525219169346,56,2021-03-31,5,DIRECT
"bin_[0,0]",-9.784595288717036,3.683566564576668e-13,-9.784595288717757,-9.784595288716314,56,2021-03-31,5,DIRECT
"bin_[1,20]",-10.529441357568414,3.4518466239482454e-13,-10.529441357569091,-10.529441357567737,56,2021-03-31,5,DIRECT
"bin_[21,40]",-10.580066840045955,4.361149875026957e-13,-10.58006684004681,-10.5800668400451,56,2021-03-31,5,DIRECT
"bin_[41,60]",-9.670240872191076,7.717237043456668e-13,-9.67024087219259,-9.670240872189563,56,2021-03-31,5,DIRECT
"bin_[-40,-21]",5.0047037219756785,1.7141309743449284,1.6450070122596188,8.364400431691738,56,2021-03-31,10,TOTAL
"bin_[-60,-41]",26.143612781121785,3.2494936557397405,19.774605215871894,32.512620346371676,56,2021-03-31,10,TOTAL
"bin_[0,0]",-2.2513701475800247,1.8534615775001868,-5.884154839480391,1.3814145443203412,56,2021-03-31,10,TOTAL
"bin_[1,20]",0.6387713704801231,2.3254789001395255,-3.919167273793347,5.196710014753593,56,2021-03-31,10,TOTAL
"bin_[21,40]",-1.4983307452179349,2.83379344304377,-7.052565893583724,4.055904403147855,56,2021-03-31,10,TOTAL
"bin_[41,60]",-0.9814151275853628,3.6514427032854795,-8.138242826024902,6.175412570854177,56,2021-03-31,10,TOTAL
"bin_[-40,-21]",-2.6033391853242285,5.126109101881805e-13,-2.603339185325233,-2.603339185323224,56,2021-03-31,10,DIRECT
"bin_[-60,-41]",14.059625880384308,1.21553884756112e-12,14.059625880381926,14.05962588038669,56,2021-03-31,10,DIRECT
"bin_[0,0]",-10.967022096483117,5.100613642185315e-13,-10.967022096484117,-10.967022096482117,56,2021-03-31,10,DIRECT
"bin_[1,20]",-5.1459033039506075,4.674662262351504e-13,-5.145903303951524,-5.145903303949691,56,2021-03-31,10,DIRECT
"bin_[21,40]",-11.034054390912965,6.047700752106046e-13,-11.03405439091415,-11.03405439091178,56,2021-03-31,10,DIRECT
"bin_[41,60]",-20.703013473854618,1.0294290695381711e-12,-20.703013473856636,-20.7030134738526,56,2021-03-31,10,DIRECT
"bin_[-40,-21]",4.453084330164879,1.4696767718003247,1.5725178574362424,7.333650802893516,56,2021-03-31,20,TOTAL
"bin_[-60,-41]",9.26538402399178,3.8222100401320867,1.77385234533289,16.75691570265067,56,2021-03-31,20,TOTAL
"bin_[0,0]",5.053665933135101,1.9755898846125448,1.1815097592945136,8.925822106975689,56,2021-03-31,20,TOTAL
"bin_[1,20]",5.60308080756223,2.404431099164626,0.8903958531995633,10.315765761924897,56,2021-03-31,20,TOTAL
"bin_[21,40]",6.871508399465555,2.8056008456006594,1.372530742088263,12.370486056842847,56,2021-03-31,20,TOTAL
"bin_[41,60]",4.0708847200318266,4.130410208143489,-4.02471928792941,12.166488727993062,56,2021-03-31,20,TOTAL
"bin_[-40,-21]",-6.491681535091816,6.198753049944299e-13,-6.491681535093031,-6.491681535090601,56,2021-03-31,20,DIRECT
"bin_[-60,-41]",-10.216837616171528,1.100744052896135e-12,-10.216837616173686,-10.21683761616937,56,2021-03-31,20,DIRECT
"bin_[0,0]",-3.795600113482711,6.427812669352714e-13,-3.795600113483971,-3.795600113481451,56,2021-03-31,20,DIRECT
"bin_[1,20]",0.3082536031545301,6.745932898295746e-13,0.3082536031532079,0.3082536031558523,56,2021-03-31,20,DIRECT
"bin_[21,40]",-2.757530459606909,8.485410505570691e-13,-2.757530459608572,-2.757530459605246,56,2021-03-31,20,DIRECT
"bin_[41,60]",-15.055286148745665,1.3910219810920883e-12,-15.055286148748392,-15.055286148742939,56,2021-03-31,20,DIRECT
