date,bid_ask_spread,pubout,n_issues
2013-11-29,0.0527340000000009,6643020.0,259
2013-12-31,0.0527342500000003,6848792.0,268
2014-01-31,0.0507810000000006,6749160.0,265
2014-02-28,0.0527340000000009,6638519.0,262
2014-03-31,0.0527337500000015,6894707.0,272
2014-04-30,0.0527340000000009,6788981.0,269
2014-05-30,0.0527344999999996,6744365.0,268
2014-06-30,0.0527342500000003,6943729.0,276
2014-07-31,0.0546870000000012,6836793.0,273
2014-08-29,0.0546872500000006,6796180.0,272
2014-09-30,0.0527342500000003,9201093.0,280
2014-10-31,0.0527342500000003,9092082.0,277
2014-11-28,0.0527340000000009,9076783.0,276
2014-12-31,0.0546872500000006,7070693.0,284
